cntry	English	Russian	Portuguese
AL	Albania	Албания	Albânia
BE	Belgium	Бельгия	Bélgica
BG	Bulgaria	Болгария	Bulgária
CH	Switzerland	Швейцария	Suíça
CY	Cyprus	Кипр	Chipre
CZ	Czechia	Чехия	República Checa
DE	Germany	Германия	Alemanha
DK	Denmark	Дания	Dinamarca
EE	Estonia	Эстония	Estônia
ES	Spain	Испания	Espanha
FI	Finland	Финляндия	Finlândia
FR	France	Франция	França
GB	United Kingdom	Великобритания	Reino Unido
HU	Hungary	Венгрия	Hungria
IE	Ireland	Ирландия	Irlanda
IL	Israel	Израиль	Israel
IS	Iceland	Исландия	Islândia
IT	Italy	Италия	Itália
LT	Lithuania	Литва	Lituânia
ME	Montenegro	Черногория	Montenegro
NL	Netherlands	Нидерланды	Países Baixos
NO	Norway	Норвегия	Noruega
PL	Poland	Польша	Polônia
PT	Portugal	Португалия	Portugal
RS	Serbia	Сербия	Sérvia
RU	Russia	Россия	Rússia
SE	Sweden	Швеция	Suécia
SI	Slovenia	Словения	Eslovênia
SK	Slovakia	Словакия	Eslováquia
UA	Ukraine	Украина	Ucrânia
XK	Kosovo	Косово	Kosovo
HR	Croatia	Хорватия	Croácia
GR	Greece	Греция	Grécia
LV	Latvia	Латвия	Letônia
RO	Romania	Румыния	Romania
LU	Luxemburg	Люксембург	Luxemburgo
TR	Turkey	Турция	Turquia
AT	Austria	Австрия	Áustria
